Years_in_CS,Programming_Languages,Frameworks,Databases,DevOps_Tools,Networking_Experience,Cybersecurity_Experience,AI_Data_Science_Experience,Current_Role,Happy_in_Current_Role,Current_Role_Difficulty
1-3 years,Kotlin,Express.js,Redis,DigitalOcean,No,Yes,Yes,Network Engineer,No,Yes
Less than 1 year,C#,SwiftUI,MongoDB,DigitalOcean,Yes,Yes,No,Cloud Engineer,Yes,No
Less than 1 year,Go,Numpy,Redis,Apache,No,Yes,No,Project Manager,Yes,No
More than 5 years,Rust,Django,CassandraDB,Travis CI,No,Yes,No,Project Manager,No,No
None,Dart,Angular,OracleDB,DigitalOcean,Yes,Yes,No,Systems Analyst,Yes,Yes
None,Swift,Next.js,SQLite,Kubernetes,Yes,No,No,Robotics Engineer,Yes,No
More than 5 years,Other (please specify),Flask,SQLite,Other (please specify),Yes,Yes,No,Back-End Developer,Yes,Yes
More than 5 years,C++,GTK,MongoDB,Other (please specify),Yes,No,No,Mobile Developer,Yes,No
3-5 years,C#,Dask,Microsoft SQL Server,Nginx,No,No,No,Other (please specify),No,No
3-5 years,Go,Nestjs,Microsoft SQL Server,Ansible,Yes,No,No,Systems Analyst,No,No
1-3 years,Kotlin,PyTorch,Redis,GitLab CI/CD,Yes,No,Yes,Mobile Developer,Yes,Yes
Less than 1 year,Ruby,Burp Suite,SQLite,Docker,Yes,No,No,Cybersecurity Analyst,No,Yes
Less than 1 year,Java,Snort,OracleDB,Other (please specify),No,No,No,Data Scientist,Yes,Yes
None,Dart,Unreal Engine,PostgreSQL,Docker,No,Yes,No,Machine Learning Engineer,No,Yes
1-3 years,Python,Burp Suite,Other (please specify),Git,No,Yes,Yes,Software Engineer,No,Yes
3-5 years,Swift,Scikit-Learn,SQLite,Nginx,No,No,No,Machine Learning Engineer,Yes,No
More than 5 years,None,Flask,Microsoft SQL Server,AWS,No,Yes,No,Front-End Developer,No,Yes
1-3 years,Rust,Django,SQLite,CircleCI,Yes,No,Yes,Systems Analyst,No,No
1-3 years,Other (please specify),Dask,PostgreSQL,AWS,Yes,Yes,No,Database Administrator,No,No
More than 5 years,Other (please specify),Vue.js,Other (please specify),GitLab CI/CD,Yes,Yes,No,Full-Stack Developer,No,No
1-3 years,Other (please specify),Metasploit,Microsoft SQL Server,Google Cloud Platform,Yes,No,No,Game Developer,Yes,Yes
More than 5 years,Python,Unreal Engine,MongoDB,Kubernetes,Yes,Yes,Yes,Network Engineer,No,No
None,Python,Express.js,PostgreSQL,Git,No,No,Yes,Other (please specify),No,Yes
None,C#,Nestjs,Microsoft SQL Server,GitLab CI/CD,No,Yes,No,Machine Learning Engineer,No,Yes
1-3 years,Ruby,Vue.js,MongoDB,Jenkins,Yes,Yes,Yes,Systems Analyst,No,Yes
Less than 1 year,Swift,Xamarin,Redis,Docker,Yes,No,Yes,Mobile Developer,No,Yes
None,None,Unreal Engine,Microsoft SQL Server,Ansible,No,Yes,No,Machine Learning Engineer,Yes,Yes
None,Python,PyTorch,PostgreSQL,Kubernetes,Yes,Yes,No,Data Engineer,Yes,No
Less than 1 year,Rust,Wireshark,PostgreSQL,Jenkins,No,No,Yes,Front-End Developer,Yes,No
More than 5 years,C#,CryEngine,SQLite,Apache,No,Yes,Yes,Network Engineer,Yes,No
1-3 years,JavaScript,WPF,Microsoft SQL Server,Apache,No,No,No,Network Engineer,No,No
1-3 years,Ruby,GTK,Redis,Nginx,No,No,Yes,Product Manager,Yes,No
1-3 years,Rust,Scikit-Learn,SQLite,Terraform,No,No,Yes,Network Engineer,No,No
3-5 years,Kotlin,Express.js,SQLite,Nginx,No,No,Yes,Robotics Engineer,No,Yes
None,C++,Snort,MongoDB,Nginx,Yes,No,Yes,Software Engineer,Yes,No
None,C#,Scikit-Learn,MongoDB,Apache,Yes,Yes,Yes,IT Support Specialist,Yes,Yes
3-5 years,Kotlin,WPF,Other (please specify),Kubernetes,No,Yes,Yes,AI Researcher,Yes,No
More than 5 years,Kotlin,Kali Linux,SQLite,Travis CI,Yes,Yes,Yes,Other (please specify),No,No
Less than 1 year,Kotlin,Electron,MySQL,Kubernetes,No,Yes,Yes,Cloud Engineer,No,Yes
More than 5 years,TypeScript,SwiftUI,MySQL,Azure,No,No,Yes,Project Manager,No,Yes
Less than 1 year,None,WPF,Microsoft SQL Server,Travis CI,No,No,No,DevOps Engineer,Yes,Yes
Less than 1 year,C++,Angular,Microsoft SQL Server,CircleCI,No,Yes,No,Software Engineer,No,Yes
Less than 1 year,C++,Express.js,SQLite,GitLab CI/CD,No,Yes,Yes,Software Engineer,Yes,No
None,Swift,Electron,CassandraDB,AWS,No,Yes,No,Back-End Developer,Yes,No
None,C,JavaFX,SQLite,Jenkins,Yes,No,No,Cybersecurity Analyst,Yes,Yes
3-5 years,Go,Electron,PostgreSQL,CircleCI,No,Yes,Yes,AI Researcher,No,No
None,JavaScript,TensorFlow,CassandraDB,Kubernetes,Yes,No,Yes,Product Manager,Yes,No
3-5 years,Rust,Angular,Redis,Travis CI,No,Yes,Yes,Data Scientist,No,No
None,JavaScript,CryEngine,CassandraDB,Docker,Yes,No,Yes,IT Support Specialist,Yes,Yes
1-3 years,Python,SwiftUI,PostgreSQL,Docker,No,Yes,Yes,Product Manager,Yes,No
1-3 years,TypeScript,Numpy,PostgreSQL,CircleCI,No,No,No,Product Manager,No,Yes
Less than 1 year,C#,CryEngine,Microsoft SQL Server,CircleCI,No,No,Yes,Network Engineer,Yes,No
More than 5 years,C++,Ruby on Rails,MongoDB,Other (please specify),Yes,No,No,Software Engineer,No,Yes
None,Go,Electron,Other (please specify),Terraform,No,No,No,Systems Analyst,Yes,Yes
1-3 years,C,Unreal Engine,Other (please specify),Google Cloud Platform,Yes,Yes,Yes,Machine Learning Engineer,No,Yes
3-5 years,Swift,Ruby on Rails,MySQL,Jenkins,Yes,Yes,Yes,Robotics Engineer,No,Yes
None,Rust,GTK,MySQL,Kubernetes,Yes,Yes,Yes,IT Support Specialist,No,Yes
1-3 years,None,Scikit-Learn,Redis,Kubernetes,Yes,No,Yes,Network Engineer,No,Yes
1-3 years,Java,Nestjs,PostgreSQL,DigitalOcean,No,No,Yes,Data Scientist,No,Yes
1-3 years,Go,Svelte,MySQL,GitLab CI/CD,No,No,No,DevOps Engineer,No,No
None,Python,React,MongoDB,Nginx,No,No,No,Cybersecurity Analyst,No,Yes
Less than 1 year,PHP,WPF,OracleDB,Azure,Yes,No,Yes,Cybersecurity Analyst,No,No
None,Java,Wireshark,MongoDB,DigitalOcean,No,No,Yes,Cybersecurity Analyst,No,Yes
None,Go,WPF,CassandraDB,Nginx,Yes,No,Yes,Product Manager,Yes,No
Less than 1 year,JavaScript,Django,Redis,Git,Yes,No,Yes,Data Engineer,Yes,No
None,C,React,MongoDB,Travis CI,Yes,No,No,IT Support Specialist,Yes,No
Less than 1 year,JavaScript,Dask,MongoDB,DigitalOcean,Yes,No,Yes,Machine Learning Engineer,No,Yes
None,Rust,Unreal Engine,CassandraDB,DigitalOcean,No,Yes,Yes,DevOps Engineer,Yes,Yes
Less than 1 year,PHP,CryEngine,MongoDB,Google Cloud Platform,Yes,Yes,Yes,Front-End Developer,No,Yes
None,JavaScript,Electron,OracleDB,Terraform,Yes,Yes,No,Cybersecurity Analyst,No,No
None,Kotlin,Next.js,MySQL,Terraform,Yes,No,Yes,AI Researcher,No,Yes
1-3 years,C#,Scikit-Learn,Redis,AWS,No,Yes,Yes,Software Engineer,No,No
More than 5 years,Kotlin,Burp Suite,MongoDB,Travis CI,No,Yes,Yes,Game Developer,No,Yes
Less than 1 year,Java,React,Redis,AWS,No,Yes,No,Other (please specify),No,No
None,Kotlin,Flutter,SQLite,Travis CI,No,No,Yes,Machine Learning Engineer,No,No
3-5 years,Java,Unreal Engine,Microsoft SQL Server,GitLab CI/CD,No,No,Yes,Back-End Developer,No,No
Less than 1 year,Other (please specify),Apache Spark,Microsoft SQL Server,Git,Yes,Yes,No,Data Engineer,No,No
1-3 years,C++,Kali Linux,PostgreSQL,DigitalOcean,No,No,No,Front-End Developer,Yes,Yes
None,TypeScript,SwiftUI,MongoDB,Ansible,No,Yes,No,Data Scientist,No,No
Less than 1 year,Dart,Keras,Microsoft SQL Server,Jenkins,No,Yes,No,Full-Stack Developer,Yes,No
None,Swift,Scikit-Learn,MongoDB,Git,No,Yes,No,Cybersecurity Analyst,Yes,No
1-3 years,Rust,GTK,Other (please specify),Google Cloud Platform,No,Yes,Yes,Front-End Developer,Yes,No
1-3 years,Kotlin,Metasploit,Redis,Docker,Yes,No,No,Front-End Developer,Yes,No
3-5 years,Go,Apache Spark,MySQL,Ansible,No,Yes,Yes,Cybersecurity Analyst,Yes,Yes
More than 5 years,Rust,Express.js,SQLite,Jenkins,No,No,No,Product Manager,Yes,No
More than 5 years,C#,Pandas,PostgreSQL,Nginx,No,No,Yes,Robotics Engineer,No,No
1-3 years,Ruby,React,OracleDB,Ansible,Yes,No,No,Data Scientist,No,Yes
Less than 1 year,C,Angular,MongoDB,Jenkins,No,No,Yes,Systems Analyst,Yes,No
1-3 years,Java,Flutter,OracleDB,Git,Yes,No,No,Network Engineer,No,No
None,Java,PyTorch,Microsoft SQL Server,CircleCI,Yes,Yes,Yes,Project Manager,No,No
More than 5 years,None,Express.js,SQLite,Terraform,Yes,No,Yes,DevOps Engineer,No,Yes
1-3 years,Rust,Next.js,MySQL,GitLab CI/CD,Yes,Yes,No,Data Scientist,No,No
None,C,Apache Spark,OracleDB,Ansible,Yes,No,No,Product Manager,No,Yes
3-5 years,PHP,Django,Redis,Docker,No,Yes,Yes,IT Support Specialist,Yes,Yes
More than 5 years,Dart,TensorFlow,OracleDB,Nginx,No,No,No,Cloud Engineer,Yes,No
3-5 years,C++,Kali Linux,MongoDB,Apache,No,Yes,No,Data Scientist,Yes,Yes
1-3 years,Java,Kali Linux,Other (please specify),Kubernetes,Yes,Yes,No,Product Manager,No,Yes
None,C++,TensorFlow,SQLite,CircleCI,Yes,Yes,No,IT Support Specialist,Yes,No
1-3 years,Other (please specify),Svelte,OracleDB,Kubernetes,No,No,Yes,DevOps Engineer,Yes,Yes
None,Python,Xamarin,MongoDB,Travis CI,No,Yes,No,Project Manager,No,Yes
1-3 years,Go,Metasploit,PostgreSQL,DigitalOcean,No,No,No,Cloud Engineer,No,Yes
None,C++,Scikit-Learn,MongoDB,DigitalOcean,Yes,Yes,No,Network Engineer,Yes,No
1-3 years,Ruby,Numpy,MongoDB,Terraform,No,Yes,Yes,IT Support Specialist,Yes,No
Less than 1 year,Dart,Kotlin Multiplatform Mobile (KMM),MySQL,Jenkins,No,Yes,Yes,Mobile Developer,Yes,Yes
3-5 years,C#,Pandas,MySQL,Terraform,Yes,No,Yes,DevOps Engineer,No,No
None,C++,JavaFX,MongoDB,Nginx,Yes,Yes,Yes,Project Manager,No,No
None,Java,Kali Linux,OracleDB,Apache,No,No,Yes,Game Developer,No,Yes
Less than 1 year,Java,Qt,Other (please specify),Jenkins,No,Yes,No,Data Scientist,Yes,No
More than 5 years,C++,.NET Core,Redis,DigitalOcean,Yes,Yes,Yes,Mobile Developer,Yes,No
None,C++,Electron,OracleDB,Terraform,No,Yes,No,Project Manager,Yes,No
Less than 1 year,Python,TensorFlow,SQLite,Jenkins,No,Yes,Yes,Database Administrator,No,Yes
1-3 years,Python,OpenVAS,Redis,Ansible,No,No,No,Front-End Developer,No,Yes
Less than 1 year,Dart,Ruby on Rails,MySQL,Terraform,No,Yes,Yes,Project Manager,Yes,Yes
More than 5 years,JavaScript,Express.js,Microsoft SQL Server,Nginx,No,No,No,Data Scientist,Yes,Yes
More than 5 years,PHP,TensorFlow,SQLite,AWS,No,Yes,Yes,Cybersecurity Analyst,Yes,Yes
More than 5 years,Other (please specify),CryEngine,CassandraDB,AWS,Yes,Yes,Yes,Data Scientist,Yes,No
1-3 years,Rust,React,PostgreSQL,Docker,No,No,Yes,Data Engineer,Yes,No
None,None,Flutter,OracleDB,CircleCI,Yes,No,No,Database Administrator,Yes,Yes
None,Other (please specify),CryEngine,Microsoft SQL Server,Ansible,No,No,No,Database Administrator,No,Yes
None,Go,Flutter,PostgreSQL,Git,Yes,No,Yes,AI Researcher,No,No
More than 5 years,Dart,PyTorch,Microsoft SQL Server,Google Cloud Platform,No,No,Yes,Product Manager,No,Yes
Less than 1 year,None,PyTorch,OracleDB,Other (please specify),Yes,Yes,No,Product Manager,Yes,No
More than 5 years,C#,Ruby on Rails,Redis,Git,No,No,No,Network Engineer,Yes,Yes
3-5 years,Swift,Snort,MongoDB,AWS,Yes,No,Yes,Product Manager,Yes,Yes
None,TypeScript,PyTorch,MySQL,Nginx,No,No,Yes,Game Developer,No,Yes
More than 5 years,Dart,Angular,Other (please specify),Travis CI,No,Yes,No,Other (please specify),Yes,No
More than 5 years,Swift,Angular,CassandraDB,Git,Yes,No,Yes,Machine Learning Engineer,Yes,No
3-5 years,Swift,Next.js,MongoDB,Jenkins,No,Yes,Yes,Other (please specify),No,Yes
None,JavaScript,JavaFX,Microsoft SQL Server,GitLab CI/CD,No,Yes,No,Database Administrator,No,No
3-5 years,None,Svelte,MySQL,Azure,No,No,No,AI Researcher,No,No
Less than 1 year,PHP,Numpy,PostgreSQL,Kubernetes,No,No,No,Software Engineer,No,No
3-5 years,Kotlin,Snort,MySQL,Azure,No,No,Yes,Game Developer,Yes,No
More than 5 years,None,Metasploit,PostgreSQL,Terraform,Yes,Yes,Yes,AI Researcher,Yes,No
More than 5 years,PHP,Snort,OracleDB,Google Cloud Platform,Yes,Yes,No,IT Support Specialist,Yes,No
1-3 years,C#,Qt,MySQL,Other (please specify),Yes,Yes,No,Software Engineer,No,Yes
1-3 years,Go,Ruby on Rails,PostgreSQL,Terraform,No,Yes,Yes,Cybersecurity Analyst,No,Yes
More than 5 years,Ruby,Godot,MySQL,Terraform,Yes,Yes,No,Full-Stack Developer,Yes,Yes
None,Go,.NET Core,MongoDB,AWS,No,Yes,Yes,Systems Analyst,Yes,Yes
More than 5 years,TypeScript,Godot,Redis,Other (please specify),No,No,No,Cloud Engineer,Yes,Yes
1-3 years,Dart,WPF,Other (please specify),Google Cloud Platform,No,No,No,IT Support Specialist,No,Yes
1-3 years,Swift,Keras,Redis,Jenkins,No,No,No,Full-Stack Developer,Yes,No
3-5 years,Rust,Ruby on Rails,MongoDB,AWS,No,No,No,Cybersecurity Analyst,No,Yes
None,Java,CryEngine,Microsoft SQL Server,Apache,No,Yes,No,Database Administrator,Yes,Yes
More than 5 years,Go,CryEngine,Microsoft SQL Server,Ansible,No,Yes,No,IT Support Specialist,Yes,Yes
More than 5 years,C++,Qt,Redis,CircleCI,No,Yes,No,Data Engineer,No,Yes
3-5 years,Other (please specify),Unreal Engine,PostgreSQL,DigitalOcean,No,Yes,No,Mobile Developer,Yes,Yes
More than 5 years,Swift,Apache Spark,PostgreSQL,DigitalOcean,Yes,No,Yes,Data Scientist,No,Yes
Less than 1 year,Java,Wireshark,MongoDB,Terraform,Yes,No,Yes,Front-End Developer,No,Yes
None,JavaScript,Django,MySQL,AWS,Yes,Yes,Yes,Game Developer,Yes,No
1-3 years,Ruby,CryEngine,PostgreSQL,CircleCI,Yes,Yes,No,Software Engineer,Yes,Yes
Less than 1 year,PHP,Unreal Engine,Other (please specify),Jenkins,No,No,No,Product Manager,Yes,No
None,Kotlin,Metasploit,CassandraDB,AWS,Yes,No,Yes,Data Engineer,Yes,No
3-5 years,JavaScript,Dask,Redis,Nginx,Yes,No,No,Product Manager,Yes,Yes
Less than 1 year,C#,Dask,Redis,Other (please specify),No,Yes,Yes,Data Engineer,No,Yes
Less than 1 year,C++,Angular,MySQL,GitLab CI/CD,Yes,No,Yes,Robotics Engineer,Yes,Yes
3-5 years,Python,GTK,Redis,Azure,No,Yes,No,Game Developer,Yes,Yes
Less than 1 year,Python,TensorFlow,Redis,Ansible,Yes,No,Yes,Back-End Developer,No,Yes
1-3 years,Other (please specify),Django,Microsoft SQL Server,GitLab CI/CD,Yes,Yes,No,Project Manager,Yes,No
More than 5 years,Python,Numpy,Redis,Docker,Yes,Yes,No,DevOps Engineer,Yes,Yes
More than 5 years,C,OpenVAS,Redis,Nginx,No,Yes,Yes,Network Engineer,Yes,Yes
Less than 1 year,JavaScript,Wireshark,Redis,Ansible,No,Yes,No,Network Engineer,Yes,Yes
3-5 years,C++,Metasploit,OracleDB,Other (please specify),No,Yes,Yes,Data Scientist,No,Yes
3-5 years,Python,Numpy,MySQL,Kubernetes,Yes,Yes,Yes,DevOps Engineer,No,Yes
More than 5 years,C++,Express.js,Microsoft SQL Server,Azure,No,Yes,Yes,Software Engineer,Yes,Yes
Less than 1 year,PHP,Express.js,MongoDB,Ansible,No,No,No,AI Researcher,No,No
Less than 1 year,None,WPF,MySQL,Apache,No,No,No,Cybersecurity Analyst,No,Yes
3-5 years,C,.NET Core,Other (please specify),Google Cloud Platform,Yes,Yes,Yes,Database Administrator,No,No
1-3 years,TypeScript,React Native,PostgreSQL,Apache,No,Yes,Yes,AI Researcher,Yes,Yes
None,Kotlin,Metasploit,MySQL,Terraform,No,No,No,IT Support Specialist,No,No
3-5 years,Go,Burp Suite,Other (please specify),Google Cloud Platform,No,No,No,Mobile Developer,No,Yes
3-5 years,Rust,Kotlin Multiplatform Mobile (KMM),MySQL,Google Cloud Platform,Yes,No,Yes,Project Manager,Yes,No
None,TypeScript,Dask,Redis,Jenkins,No,No,Yes,Other (please specify),Yes,Yes
3-5 years,JavaScript,JavaFX,SQLite,Ansible,Yes,Yes,Yes,Data Engineer,No,Yes
Less than 1 year,None,Godot,Redis,Nginx,Yes,No,Yes,Robotics Engineer,No,No
3-5 years,Ruby,TensorFlow,PostgreSQL,Google Cloud Platform,Yes,No,No,Project Manager,Yes,Yes
Less than 1 year,TypeScript,Angular,CassandraDB,DigitalOcean,No,No,Yes,Software Engineer,Yes,Yes
None,JavaScript,Svelte,Other (please specify),CircleCI,Yes,No,No,Database Administrator,No,Yes
More than 5 years,Python,Unity,Other (please specify),Google Cloud Platform,No,Yes,No,Software Engineer,Yes,No
Less than 1 year,Rust,Pandas,MongoDB,Jenkins,Yes,No,Yes,Data Engineer,No,No
More than 5 years,Kotlin,Vue.js,Redis,Google Cloud Platform,No,Yes,No,Product Manager,Yes,Yes
None,C++,WPF,MySQL,Kubernetes,Yes,No,No,IT Support Specialist,Yes,No
3-5 years,Java,Dask,OracleDB,Nginx,No,Yes,Yes,Mobile Developer,Yes,No
3-5 years,Dart,Express.js,Other (please specify),GitLab CI/CD,No,Yes,No,AI Researcher,Yes,No
3-5 years,TypeScript,Django,Microsoft SQL Server,Nginx,No,No,No,Other (please specify),No,Yes
More than 5 years,Dart,Wireshark,Other (please specify),Docker,Yes,Yes,Yes,Robotics Engineer,No,No
More than 5 years,Go,Qt,Redis,Docker,Yes,No,Yes,IT Support Specialist,Yes,Yes
More than 5 years,Kotlin,GTK,Other (please specify),Other (please specify),Yes,No,No,Systems Analyst,No,Yes
More than 5 years,Go,Nestjs,Microsoft SQL Server,Apache,No,No,No,DevOps Engineer,Yes,Yes
More than 5 years,Python,Nestjs,MongoDB,Google Cloud Platform,No,No,No,Cloud Engineer,Yes,No
Less than 1 year,C,Express.js,PostgreSQL,Google Cloud Platform,Yes,Yes,Yes,Product Manager,No,No
1-3 years,Other (please specify),Next.js,MySQL,Git,Yes,No,Yes,Robotics Engineer,No,No
More than 5 years,Swift,Kali Linux,Redis,Travis CI,No,No,Yes,Other (please specify),No,Yes
Less than 1 year,C++,PyTorch,MySQL,Google Cloud Platform,No,Yes,Yes,Other (please specify),No,No
None,Ruby,Next.js,MongoDB,Docker,Yes,No,No,Other (please specify),Yes,Yes
More than 5 years,Other (please specify),Qt,Other (please specify),Jenkins,No,No,No,Systems Analyst,Yes,Yes
3-5 years,Other (please specify),CryEngine,CassandraDB,Other (please specify),Yes,Yes,Yes,AI Researcher,Yes,No
1-3 years,TypeScript,React,Microsoft SQL Server,GitLab CI/CD,Yes,Yes,No,Back-End Developer,No,No
Less than 1 year,Rust,Snort,MongoDB,Apache,No,Yes,Yes,Systems Analyst,Yes,Yes
3-5 years,Ruby,Wireshark,MySQL,DigitalOcean,No,Yes,Yes,Database Administrator,Yes,Yes
None,Other (please specify),Unreal Engine,Redis,Azure,No,Yes,Yes,IT Support Specialist,No,Yes
More than 5 years,Java,Scikit-Learn,CassandraDB,Ansible,No,No,No,DevOps Engineer,Yes,Yes
None,Swift,React Native,OracleDB,Travis CI,Yes,No,Yes,Data Scientist,No,Yes
More than 5 years,C,Electron,SQLite,Terraform,No,No,Yes,Front-End Developer,Yes,Yes
None,Go,JavaFX,OracleDB,Azure,Yes,Yes,Yes,Systems Analyst,No,No
3-5 years,TypeScript,Xamarin,CassandraDB,GitLab CI/CD,No,Yes,No,Network Engineer,Yes,Yes
Less than 1 year,Ruby,Flutter,Microsoft SQL Server,Google Cloud Platform,Yes,Yes,No,Game Developer,No,No
3-5 years,Dart,OpenVAS,Redis,Git,No,Yes,No,Data Engineer,Yes,No
1-3 years,C,Scikit-Learn,Microsoft SQL Server,AWS,Yes,Yes,No,Robotics Engineer,Yes,Yes
3-5 years,Other (please specify),SwiftUI,SQLite,CircleCI,Yes,Yes,Yes,Other (please specify),Yes,Yes
Less than 1 year,Python,Numpy,Redis,GitLab CI/CD,Yes,Yes,No,Cloud Engineer,Yes,Yes
More than 5 years,Python,Snort,Redis,CircleCI,Yes,No,No,Game Developer,Yes,Yes
None,Swift,Unity,OracleDB,Google Cloud Platform,No,Yes,No,Other (please specify),No,No
Less than 1 year,JavaScript,Electron,CassandraDB,Other (please specify),No,Yes,Yes,Data Engineer,Yes,Yes
More than 5 years,Other (please specify),SwiftUI,PostgreSQL,Kubernetes,No,Yes,Yes,Mobile Developer,Yes,Yes
Less than 1 year,None,Dask,MongoDB,CircleCI,Yes,Yes,Yes,Data Engineer,Yes,No
More than 5 years,Other (please specify),Nestjs,PostgreSQL,Travis CI,Yes,No,No,Product Manager,Yes,No
More than 5 years,C#,Burp Suite,Other (please specify),Git,No,Yes,No,Game Developer,No,Yes
3-5 years,Other (please specify),Snort,Microsoft SQL Server,Travis CI,Yes,No,No,Back-End Developer,Yes,Yes
3-5 years,Swift,Django,Other (please specify),Jenkins,No,Yes,Yes,Cybersecurity Analyst,Yes,Yes
None,Java,Kotlin Multiplatform Mobile (KMM),Microsoft SQL Server,Google Cloud Platform,No,Yes,Yes,AI Researcher,No,No
3-5 years,Rust,Express.js,CassandraDB,Kubernetes,No,No,Yes,IT Support Specialist,No,No
More than 5 years,Dart,WPF,OracleDB,Docker,Yes,Yes,Yes,Full-Stack Developer,No,Yes
3-5 years,C++,Unreal Engine,SQLite,Git,Yes,No,No,Back-End Developer,No,No
More than 5 years,Go,React Native,MongoDB,Azure,No,Yes,Yes,Database Administrator,No,No
3-5 years,PHP,Keras,SQLite,Jenkins,Yes,No,Yes,Back-End Developer,No,No
1-3 years,None,Unreal Engine,CassandraDB,Google Cloud Platform,Yes,No,Yes,Cloud Engineer,Yes,No
Less than 1 year,Ruby,Metasploit,OracleDB,Azure,Yes,No,Yes,Software Engineer,No,Yes
3-5 years,JavaScript,Express.js,Microsoft SQL Server,AWS,No,Yes,Yes,Robotics Engineer,No,Yes
None,Rust,Vue.js,Microsoft SQL Server,Apache,Yes,Yes,No,Product Manager,No,No
1-3 years,TypeScript,OpenVAS,CassandraDB,GitLab CI/CD,Yes,Yes,No,Cloud Engineer,No,Yes
None,Other (please specify),Kali Linux,Microsoft SQL Server,DigitalOcean,Yes,Yes,Yes,Cybersecurity Analyst,Yes,Yes
3-5 years,Go,Flutter,CassandraDB,Jenkins,Yes,Yes,Yes,Database Administrator,Yes,No
More than 5 years,Kotlin,Next.js,SQLite,Ansible,No,No,Yes,Back-End Developer,Yes,Yes
3-5 years,Java,OpenVAS,Redis,Git,Yes,Yes,Yes,Other (please specify),Yes,No
Less than 1 year,Go,React,MongoDB,Azure,Yes,Yes,No,Software Engineer,Yes,Yes
3-5 years,PHP,Unity,Other (please specify),Ansible,Yes,Yes,Yes,Machine Learning Engineer,Yes,No
1-3 years,Other (please specify),SwiftUI,Redis,Nginx,No,No,No,Data Scientist,No,Yes
More than 5 years,JavaScript,Unreal Engine,Other (please specify),Kubernetes,Yes,Yes,Yes,IT Support Specialist,No,Yes
More than 5 years,Go,Flutter,Other (please specify),DigitalOcean,Yes,Yes,No,IT Support Specialist,Yes,Yes
Less than 1 year,TypeScript,Scikit-Learn,Redis,CircleCI,Yes,No,No,Full-Stack Developer,No,Yes
3-5 years,Java,Unreal Engine,SQLite,Git,Yes,Yes,Yes,Robotics Engineer,Yes,No
1-3 years,Ruby,TensorFlow,Other (please specify),Git,Yes,Yes,No,Project Manager,Yes,No
More than 5 years,Rust,SwiftUI,OracleDB,Other (please specify),Yes,Yes,No,Full-Stack Developer,Yes,Yes
More than 5 years,C#,WPF,PostgreSQL,Other (please specify),No,No,Yes,Full-Stack Developer,Yes,No
Less than 1 year,C#,React Native,OracleDB,AWS,Yes,No,Yes,Back-End Developer,Yes,No
1-3 years,None,Dask,CassandraDB,Ansible,Yes,No,Yes,Robotics Engineer,Yes,Yes
3-5 years,C,Vue.js,Other (please specify),Docker,Yes,No,No,Full-Stack Developer,Yes,Yes
3-5 years,None,Flutter,SQLite,Apache,Yes,No,No,Cybersecurity Analyst,No,No
More than 5 years,Python,Keras,Microsoft SQL Server,Kubernetes,No,Yes,No,Full-Stack Developer,No,Yes
More than 5 years,Go,Unity,Redis,Git,No,No,Yes,Machine Learning Engineer,Yes,No
None,C++,Nestjs,OracleDB,CircleCI,No,Yes,Yes,DevOps Engineer,No,No
1-3 years,PHP,Next.js,MySQL,AWS,Yes,No,Yes,Project Manager,No,No
Less than 1 year,C++,.NET Core,SQLite,Jenkins,Yes,No,Yes,Software Engineer,No,Yes
None,Java,Apache Spark,SQLite,GitLab CI/CD,Yes,No,Yes,Cybersecurity Analyst,Yes,No
Less than 1 year,Kotlin,Snort,PostgreSQL,Git,No,No,Yes,Full-Stack Developer,Yes,No
Less than 1 year,JavaScript,Scikit-Learn,SQLite,Google Cloud Platform,No,No,No,Database Administrator,No,No
Less than 1 year,Dart,Electron,OracleDB,Git,No,No,No,Data Engineer,No,No
Less than 1 year,Other (please specify),Django,PostgreSQL,Google Cloud Platform,No,Yes,No,Software Engineer,Yes,No
Less than 1 year,Dart,Nestjs,OracleDB,Apache,No,Yes,No,Back-End Developer,No,Yes
Less than 1 year,Swift,Nestjs,MySQL,Kubernetes,No,Yes,No,Network Engineer,Yes,Yes
1-3 years,Python,React Native,MySQL,CircleCI,Yes,No,Yes,Data Engineer,No,Yes
3-5 years,Swift,JavaFX,Redis,Jenkins,Yes,Yes,No,DevOps Engineer,Yes,No
1-3 years,C++,Kotlin Multiplatform Mobile (KMM),Other (please specify),Docker,No,Yes,Yes,IT Support Specialist,No,Yes
Less than 1 year,JavaScript,GTK,MongoDB,Apache,Yes,No,No,DevOps Engineer,Yes,No
More than 5 years,C++,Flask,CassandraDB,CircleCI,No,Yes,No,Product Manager,No,No
Less than 1 year,Python,JavaFX,CassandraDB,Git,Yes,Yes,Yes,Front-End Developer,No,No
More than 5 years,Python,Burp Suite,MongoDB,Kubernetes,Yes,Yes,Yes,Mobile Developer,Yes,No
Less than 1 year,Kotlin,React Native,OracleDB,Azure,No,Yes,Yes,Other (please specify),No,Yes
None,Dart,Burp Suite,MongoDB,Apache,Yes,Yes,No,DevOps Engineer,No,No
1-3 years,None,React,Redis,Terraform,No,Yes,No,Software Engineer,Yes,Yes
More than 5 years,Other (please specify),JavaFX,Other (please specify),Travis CI,Yes,Yes,Yes,Mobile Developer,Yes,No
1-3 years,Python,TensorFlow,SQLite,CircleCI,No,No,Yes,DevOps Engineer,No,No
